transaction_id,customer_id,rules_triggered,risk_score,transaction_amount,transaction_date,merchant_category,location,is_fraud
TXN0010408,CUST01243,"R1_high_value, R3_multi_location, R4_spending_spike",8,750000.0,2023-05-25 10:59:00,Investment,Unknown,0
TXN0013221,CUST02117,"R1_high_value, R4_spending_spike, R5_high_risk_category, R6_odd_hour_high_value",8,114289.93,2024-05-06 01:51:01,Rent,Pune,1
TXN0054408,CUST01632,"R2_rapid_succession, R4_spending_spike, R6_odd_hour_high_value",8,70626.03,2023-06-06 04:54:00,Dining,Jaipur,1
TXN0026264,CUST00918,"R1_high_value, R4_spending_spike, R5_high_risk_category, R6_odd_hour_high_value",8,198284.79,2023-02-16 02:08:25,Rent,Pune,1
TXN0030202,CUST01224,"R1_high_value, R2_rapid_succession, R6_odd_hour_high_value",8,104032.61,2023-10-25 01:31:24,Groceries,Bhopal,1
TXN0035663,CUST00591,"R1_high_value, R2_rapid_succession, R6_odd_hour_high_value",8,114357.76,2024-06-26 03:24:46,Travel,Indore,1
TXN0036943,CUST02134,"R1_high_value, R2_rapid_succession, R6_odd_hour_high_value",8,133053.06,2024-08-25 04:24:00,Entertainment,Bhopal,1
TXN0037062,CUST02702,"R1_high_value, R2_rapid_succession, R6_odd_hour_high_value",8,103397.52,2023-12-25 01:33:34,Utilities,Delhi,1
TXN0040178,CUST00226,"R1_high_value, R2_rapid_succession, R6_odd_hour_high_value",8,118982.25,2023-07-07 03:41:45,Utilities,Mumbai,1
TXN0046487,CUST01300,"R1_high_value, R2_rapid_succession, R6_odd_hour_high_value",8,119592.12,2023-06-24 01:08:27,Fuel,Delhi,1
TXN0000694,CUST01538,"R1_high_value, R4_spending_spike, R5_high_risk_category, R6_odd_hour_high_value",8,3663450.0,2023-08-21 01:11:47,Rent,Bengaluru,0
TXN0060114,CUST02134,"R1_high_value, R2_rapid_succession, R6_odd_hour_high_value",8,131081.18,2024-08-25 04:25:00,Entertainment,Bhopal,1
TXN0060150,CUST00226,"R1_high_value, R2_rapid_succession, R6_odd_hour_high_value",8,100778.34,2023-07-07 03:42:00,Utilities,Mumbai,1
TXN0002341,CUST02479,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,510956.0,2023-09-29 03:49:08,Groceries,Hyderabad,0
TXN0008262,CUST00614,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,101876.41,2024-10-21 01:43:20,Education,Mumbai,0
TXN0023830,CUST01959,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,128104.92,2023-04-24 03:18:09,Salary,Hyderabad,0
TXN0027142,CUST02056,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,401654.28,2024-03-02 04:04:52,Investment,Bhopal,0
TXN0008564,CUST02900,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,139034.83,2023-04-18 03:31:16,Utilities,Delhi,1
TXN0041924,CUST01451,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,384586.8,2023-02-18 01:37:44,Dining,Kolkata,1
TXN0041920,CUST02605,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,129993.41,2023-08-17 01:40:31,Salary,Mumbai,0
TXN0042192,CUST02841,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,101894.66,2024-05-06 02:13:45,Electronics,Surat,0
TXN0041852,CUST00451,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,293059.21,2023-10-15 03:24:49,Investment,Jaipur,0
TXN0041894,CUST02323,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,168616.93,2024-07-22 02:14:44,Salary,Jaipur,0
TXN0023853,CUST00155,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,336249.93,2023-05-06 01:40:05,Investment,Mumbai,0
TXN0054069,CUST01964,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,160844.67,2024-05-21 01:28:18,Salary,Hyderabad,0
TXN0053949,CUST00909,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,185614.01,2024-07-21 03:05:52,Salary,Kolkata,0
TXN0048614,CUST01369,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,102210.36,2024-07-31 03:44:25,Electronics,Pune,0
TXN0030188,CUST02174,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,181104.38,2023-08-11 00:03:26,Salary,Jaipur,0
TXN0002186,CUST00788,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,243212.6,2023-01-02 04:06:21,Investment,Jaipur,0
TXN0030197,CUST01680,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,750000.0,2024-11-02 04:16:51,Investment,Mumbai,0
TXN0023695,CUST01134,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,120000.0,2024-05-15 04:24:09,Electronics,Bengaluru,0
TXN0023419,CUST01384,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,291412.17,2024-04-13 02:42:54,Shopping,Hyderabad,1
TXN0060052,CUST00617,"R1_high_value, R2_rapid_succession, R4_spending_spike",7,220319.56,2024-11-03 20:02:11,Fuel,Bengaluru,1
TXN0008300,CUST02710,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,338644.85,2024-11-25 04:56:47,Investment,Kochi,0
TXN0042870,CUST01202,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,374144.74,2023-12-19 03:26:52,Investment,Kochi,0
TXN0024354,CUST01450,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,199809.4,2024-04-01 04:56:03,Salary,Hyderabad,0
TXN0058839,CUST02308,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,531272.79,2024-08-10 02:54:24,Investment,Jaipur,0
TXN0058732,CUST00752,"R1_high_value, R2_rapid_succession, R4_spending_spike",7,219535.12,2024-12-21 22:15:45,Electronics,Delhi,1
TXN0052355,CUST01039,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,750000.0,2024-01-11 00:57:02,Investment,Kolkata,0
TXN0042508,CUST01062,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,102232.25,2023-01-08 04:07:52,Electronics,Unknown,0
TXN0007633,CUST01696,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,104347.27,2024-11-22 01:19:51,Electronics,Delhi,0
TXN0042310,CUST01531,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,560877.53,2023-02-20 04:50:51,Investment,Kolkata,0
TXN0053713,CUST00318,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,603038.17,2023-08-25 01:47:49,Investment,Hyderabad,0
TXN0042286,CUST00730,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,153360.02,2023-09-08 04:06:10,Education,Bengaluru,0
TXN0060104,CUST01489,"R1_high_value, R2_rapid_succession, R4_spending_spike",7,197944.25,2023-12-25 05:55:16,Travel,Ahmedabad,1
TXN0029960,CUST02987,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,195723.95,2024-12-19 03:18:15,Education,Bengaluru,0
TXN0024013,CUST00919,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,254274.15,2023-09-13 01:51:36,Investment,Lucknow,0
TXN0027164,CUST00192,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,126018.26,2023-08-21 03:32:36,Education,Mumbai,0
TXN0042227,CUST00013,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,750000.0,2023-01-28 04:05:03,Investment,Kochi,0
TXN0008112,CUST00688,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,208985.85,2023-01-11 03:48:33,Education,Jaipur,0
TXN0058464,CUST01947,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,120000.0,2023-01-04 01:22:28,Electronics,Chennai,0
TXN0058544,CUST01457,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,427389.32,2023-05-09 02:29:12,Groceries,Kolkata,1
TXN0008284,CUST00239,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,154376.84,2023-05-23 04:50:24,Investment,Hyderabad,0
TXN0051832,CUST02784,"R2_rapid_succession, R5_high_risk_category, R6_odd_hour_high_value",7,48065.88,2023-11-21 02:48:23,Rent,Chennai,1
TXN0051839,CUST02390,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,286609.43,2023-01-10 04:32:51,Investment,Chandigarh,0
TXN0002322,CUST02082,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,163151.35,2023-05-22 03:20:03,Salary,Indore,0
TXN0052866,CUST00660,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,160803.87,2024-04-12 04:36:59,Education,Lucknow,0
TXN0031231,CUST00568,"R1_high_value, R2_rapid_succession, R4_spending_spike",7,149447.71,2024-06-13 10:16:39,Entertainment,Hyderabad,1
TXN0010724,CUST02905,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,120000.0,2024-05-16 01:47:18,Electronics,Surat,0
TXN0048985,CUST01473,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,132061.19,2024-08-20 00:02:53,Investment,Ahmedabad,0
TXN0040262,CUST01690,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,548636.32,2024-12-03 02:04:15,Investment,Lucknow,0
TXN0010497,CUST02569,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,348113.17,2023-02-18 03:00:52,Investment,Jaipur,0
TXN0053088,CUST01506,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,158938.94,2023-11-06 03:40:45,Investment,Kolkata,0
TXN0057822,CUST00423,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,246235.97,2024-01-07 00:23:46,Investment,Indore,0
TXN0001999,CUST00533,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,694450.24,2023-03-24 03:39:21,Investment,Chennai,0
TXN0011300,CUST01987,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,326363.55,2023-07-18 03:49:24,Investment,Kolkata,0
TXN0041462,CUST00681,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,474305.32,2024-04-27 02:14:27,Investment,Ahmedabad,0
TXN0011103,CUST00499,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,269409.9,2024-12-22 00:02:50,Investment,Kolkata,0
TXN0022451,CUST02934,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,341864.87,2023-01-23 02:18:36,Shopping,Delhi,1
TXN0001973,CUST01366,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,139628.57,2023-02-03 00:21:13,Investment,Chennai,0
TXN0031382,CUST02304,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,179284.95,2023-09-04 01:31:32,Investment,Kochi,0
TXN0057820,CUST00820,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,385812.76,2024-08-18 02:00:35,Investment,Surat,0
TXN0011162,CUST01251,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,295261.46,2023-04-23 00:13:36,Investment,Bengaluru,0
TXN0060107,CUST02173,"R1_high_value, R2_rapid_succession, R4_spending_spike",7,101081.28,2024-12-14 14:40:48,Entertainment,Chennai,1
TXN0011192,CUST01759,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,155016.44,2023-05-13 04:23:54,Education,Ahmedabad,0
TXN0039763,CUST01551,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,1460075.0,2023-12-17 01:26:24,Shopping,Chandigarh,0
TXN0052841,CUST01952,"R3_multi_location, R6_odd_hour_high_value",7,83750.89,2024-12-19 03:01:42,Electronics,Chandigarh,0
TXN0022465,CUST01201,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,166846.03,2023-04-17 04:56:51,Investment,Chandigarh,0
TXN0023349,CUST00454,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,451569.66,2023-11-06 03:46:25,Investment,Bhopal,0
TXN0041781,CUST02582,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,189038.15,2024-07-25 00:52:26,Salary,Ahmedabad,0
TXN0023423,CUST01528,"R1_high_value, R2_rapid_succession, R4_spending_spike",7,437587.14,2023-08-08 14:00:54,Atm Withdrawal,Hyderabad,1
TXN0041244,CUST00290,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,145320.12,2023-12-02 04:57:37,Utilities,Ahmedabad,1
TXN0009429,CUST01489,"R1_high_value, R2_rapid_succession, R4_spending_spike",7,218156.4,2023-12-25 05:52:16,Travel,Ahmedabad,1
TXN0054113,CUST01231,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,118776.99,2024-09-20 04:39:04,Fuel,Kolkata,1
TXN0022841,CUST02624,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,120000.0,2023-05-24 04:34:58,Electronics,Kolkata,0
TXN0023259,CUST01104,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,266385.9,2024-04-02 04:18:27,Investment,Pune,0
TXN0030299,CUST01495,"R1_high_value, R2_rapid_succession, R4_spending_spike",7,447762.8,2024-12-18 06:45:19,Dining,Kochi,1
TXN0030302,CUST00795,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,113020.03,2023-12-07 03:15:31,Education,Chandigarh,0
TXN0010589,CUST02054,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,120000.0,2024-03-05 04:18:22,Electronics,Pune,0
TXN0048840,CUST02622,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,169688.55,2024-11-26 03:12:26,Salary,Jaipur,0
TXN0009671,CUST00973,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,313742.61,2024-02-22 03:53:14,Investment,Delhi,0
TXN0048735,CUST01593,"R2_rapid_succession, R5_high_risk_category, R6_odd_hour_high_value",7,96052.71,2024-11-21 04:59:28,Rent,Bhopal,1
TXN0054186,CUST01580,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,113393.07,2023-12-07 01:00:32,Dining,Kolkata,1
TXN0058178,CUST01106,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,177526.95,2023-02-22 03:26:12,Investment,Chandigarh,0
TXN0058189,CUST02483,"R2_rapid_succession, R5_high_risk_category, R6_odd_hour_high_value",7,77131.64,2024-10-09 04:52:22,Rent,Jaipur,1
TXN0040996,CUST01849,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,181942.13,2024-03-06 00:46:18,Investment,Ahmedabad,0
TXN0010224,CUST02840,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,121513.77,2023-09-22 04:06:07,Salary,Bhopal,0
TXN0040580,CUST01329,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,516644.85,2024-05-05 00:10:31,Investment,Pune,0
TXN0010283,CUST00933,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,112215.51,2024-09-21 03:26:00,Salary,Jaipur,0
TXN0023203,CUST01742,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,113323.88,2024-06-28 00:29:21,Education,Jaipur,0
TXN0026426,CUST02454,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,112802.07,2024-03-12 00:13:43,Electronics,Mumbai,0
TXN0029086,CUST02502,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,295844.1,2023-07-27 02:31:18,Investment,Unknown,0
TXN0025822,CUST02484,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,264226.25,2024-12-07 03:19:27,Investment,Surat,0
TXN0004226,CUST00900,"R1_high_value, R2_rapid_succession, R4_spending_spike",7,253743.27,2024-12-15 10:46:54,Utilities,Bhopal,1
TXN0004251,CUST00534,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,118163.38,2024-10-21 02:45:29,Electronics,Lucknow,1
TXN0026580,CUST01213,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,417141.15,2023-02-25 01:00:08,Investment,Bengaluru,0
TXN0004598,CUST00506,"R1_high_value, R2_rapid_succession, R4_spending_spike",7,218001.7,2024-04-04 17:18:19,Groceries,Chennai,1
TXN0004501,CUST02537,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,222146.74,2024-06-29 03:15:44,Investment,Delhi,0
TXN0004520,CUST01790,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,208414.83,2024-04-06 00:09:37,Education,Kochi,0
TXN0053337,CUST01813,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,154729.17,2024-09-12 00:17:44,Salary,Jaipur,0
TXN0025006,CUST02904,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,175264.31,2024-08-03 00:52:13,Salary,Bhopal,0
TXN0028924,CUST00726,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,274968.13,2023-12-03 02:52:54,Investment,Kochi,0
TXN0004718,CUST01738,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,189521.1,2024-11-12 00:08:23,Salary,Jaipur,0
TXN0025542,CUST01367,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,165735.14,2023-10-04 03:05:10,Salary,Lucknow,0
TXN0004721,CUST01586,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,382961.15,2024-04-11 00:55:09,Investment,Mumbai,0
TXN0004426,CUST00870,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,163563.42,2024-03-15 03:46:24,Salary,Chandigarh,0
TXN0004888,CUST00133,"R3_multi_location, R6_odd_hour_high_value",7,31331.83,2023-08-11 01:53:24,Atm Withdrawal,Indore,0
TXN0047627,CUST00562,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,106856.27,2024-08-22 03:12:35,Education,Jaipur,0
TXN0004964,CUST01760,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,447440.33,2024-07-28 01:22:10,Investment,Kochi,0
TXN0044205,CUST01301,"R1_high_value, R2_rapid_succession, R4_spending_spike",7,425633.99,2024-04-22 18:00:43,Entertainment,Mumbai,1
TXN0044098,CUST01199,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,147758.15,2024-07-27 00:21:35,Education,Jaipur,0
TXN0004582,CUST00389,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,445655.58,2024-06-23 02:08:46,Atm Withdrawal,Pune,1
TXN0060010,CUST01301,"R1_high_value, R2_rapid_succession, R4_spending_spike",7,350008.02,2024-04-22 18:05:43,Entertainment,Mumbai,1
TXN0045869,CUST02556,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,135760.57,2023-10-26 03:26:10,Groceries,Indore,1
TXN0047427,CUST00758,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,408690.09,2024-06-13 00:42:56,Travel,Kochi,1
TXN0045800,CUST02050,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,161320.46,2024-01-08 04:34:00,Investment,Kochi,0
TXN0052235,CUST00479,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,605076.7,2024-05-02 00:06:03,Investment,Hyderabad,0
TXN0060001,CUST00506,"R1_high_value, R2_rapid_succession, R4_spending_spike",7,213079.4,2024-04-04 17:22:19,Groceries,Chennai,1
TXN0060020,CUST02410,"R1_high_value, R2_rapid_succession, R4_spending_spike",7,352514.15,2023-08-13 20:55:37,Electronics,Pune,1
TXN0060008,CUST01204,"R1_high_value, R2_rapid_succession, R4_spending_spike",7,378354.34,2024-10-26 09:45:38,Groceries,Bhopal,1
TXN0060015,CUST01099,"R1_high_value, R2_rapid_succession, R4_spending_spike",7,329121.86,2023-11-07 16:14:53,Travel,Kolkata,1
TXN0045191,CUST00745,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,298266.23,2023-04-15 00:36:28,Investment,Mumbai,0
TXN0026152,CUST02173,"R1_high_value, R2_rapid_succession, R4_spending_spike",7,124979.3,2024-12-14 14:38:48,Entertainment,Chennai,1
TXN0002982,CUST01411,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,182105.62,2024-04-05 02:19:30,Salary,Chandigarh,0
TXN0026294,CUST00680,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,440627.06,2023-08-21 01:27:02,Atm Withdrawal,Ahmedabad,1
TXN0003660,CUST02401,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,185176.12,2024-03-17 04:49:06,Salary,Delhi,0
TXN0053173,CUST01796,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,438436.42,2023-02-24 01:03:29,Investment,Hyderabad,0
TXN0026490,CUST02699,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,244066.14,2024-07-20 04:50:39,Investment,Pune,0
TXN0044841,CUST00638,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,113106.79,2023-08-05 02:44:55,Entertainment,Bengaluru,1
TXN0004392,CUST01949,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,398699.19,2023-06-09 01:58:16,Investment,Pune,0
TXN0045667,CUST01693,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,750000.0,2023-01-22 03:50:44,Investment,Kolkata,0
TXN0003925,CUST02665,"R1_high_value, R2_rapid_succession, R4_spending_spike",7,136210.93,2024-05-18 20:38:51,Fuel,Hyderabad,1
TXN0003937,CUST00653,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,125393.75,2023-12-03 00:04:35,Salary,Bengaluru,0
TXN0003546,CUST02527,"R1_high_value, R2_rapid_succession, R4_spending_spike",7,141045.78,2023-11-08 13:42:32,Utilities,Kochi,1
TXN0059173,CUST01897,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,611472.02,2023-12-18 04:38:00,Investment,Chandigarh,0
TXN0043165,CUST02312,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,152584.28,2024-09-19 01:34:14,Investment,Chandigarh,0
TXN0006529,CUST02865,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,102511.06,2023-12-11 03:42:50,Travel,Kochi,1
TXN0002397,CUST01829,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,138773.93,2024-03-28 01:21:11,Dining,Bengaluru,1
TXN0028171,CUST02643,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,183667.83,2023-06-03 02:17:32,Investment,Surat,0
TXN0043535,CUST00791,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,318583.03,2023-01-18 02:52:44,Dining,Chennai,1
TXN0043144,CUST02501,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,109580.28,2024-04-21 01:32:24,Electronics,Bengaluru,0
TXN0043475,CUST02385,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,225000.0,2024-12-30 00:38:20,Education,Kolkata,0
TXN0060051,CUST00989,"R1_high_value, R2_rapid_succession, R4_spending_spike",7,245093.59,2024-03-23 11:49:18,Healthcare,Bhopal,1
TXN0053461,CUST02810,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,459774.92,2023-12-14 04:06:09,Investment,Delhi,0
TXN0052150,CUST00617,"R1_high_value, R2_rapid_succession, R4_spending_spike",7,240295.97,2024-11-03 20:01:11,Fuel,Bengaluru,1
TXN0029451,CUST00043,"R1_high_value, R4_spending_spike, R6_odd_hour_high_value",7,443081.13,2024-12-09 00:55:37,Groceries,Indore,1
TXN0058980,CUST01644,"R1_high_value, R2_rapid_succession, R4_spending_spike",7,156089.34,2024-12-09 16:49:35,Groceries,Kolkata,1
